name,10x label churn,10x label commits,churn,num commits,churn productivity,commit productivity,first commit,last commit,num owned files,average DMM complexity,average comments added
Vladimír Vondruš,0,0,45,1,0,0,03/26/2019,03/26/2019,0,,3.0
y-novikov,0,0,80,1,0,0,03/29/2019,03/29/2019,1,,0.0
Rijubrata Bhaumik,0,0,75,1,0,0,04/04/2019,04/04/2019,1,,0.0
Hao Yunfei,1,1,1811,2,1152.4545454545455,1.2727272727272727,04/04/2019,04/15/2019,20,0.9695863746958637,17.0
Kagami Sascha Rosylight,0,0,600,7,5.217391304347826,0.06086956521739131,04/23/2019,07/06/2021,1,,1.4285714285714286
Fernando Serrano,0,0,9,1,0,0,04/24/2019,04/24/2019,0,,0.0
狄学长ShrekShao,0,1,989,7,58.1764705882353,0.4117647058823529,05/01/2019,08/28/2019,0,0.6915584415584415,1.2857142857142858
"Yan, Shaobo",0,0,411,5,7.3769230769230765,0.08974358974358974,05/02/2019,05/26/2020,2,0.8089887640449438,2.4
JasperNV,0,1,228,2,266.0,2.3333333333333335,05/07/2019,05/13/2019,2,,3.0
aardgoose,0,0,2,1,0,0,05/20/2019,05/20/2019,0,,0.0
Tobin Ehlis,0,0,4,1,0,0,07/03/2019,07/03/2019,0,,0.0
Chris Blume,0,0,14,1,0,0,09/08/2019,09/08/2019,1,,0.0
Istvan Miklos,0,0,2,1,0,0,09/24/2019,09/24/2019,0,,0.0
jonahryandavis,0,0,5,1,0,0,10/07/2019,10/07/2019,0,,1.0
Mátyás Mustoha,0,0,4,1,0,0,10/30/2019,10/30/2019,1,,0.0
hujiajie,0,0,42,1,0,0,11/09/2019,11/09/2019,1,,1.0
Jaibeer  S Dugal,0,0,44,1,0,0,11/13/2019,11/13/2019,1,,0.0
Michał Krasowski,0,1,11,2,15.4,2.8,12/13/2019,12/18/2019,1,,0.0
Mike Lester,0,0,79,1,0,0,01/19/2020,01/19/2020,1,,0.0
sugoi1,0,0,24,2,2.4705882352941178,0.2058823529411765,05/13/2020,07/20/2020,2,,0.0
Thomas Guilbert,0,0,347,2,8.096666666666668,0.04666666666666667,05/14/2020,03/10/2021,4,1.0,3.0
Ray Tran,0,0,59,1,0,0,05/29/2020,05/29/2020,1,,0.0
nkronlage,0,0,55,1,0,0,06/02/2020,06/02/2020,1,,1.0
Samuel Surtees,0,0,74,1,0,0,06/29/2020,06/29/2020,0,,0.0
